,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11
G12A2,90158,0,20273,0,0,0,0,1830,22888,3,1794
G12A21,47543,0,15361,0,0,0,0,3510,14192,15,1323
G12A36,27256,0,6757,0,0,0,0,1276,7226,205,539
G12B1,45158,0,12558,0,0,0,0,2635,13097,0,1303
G12B11,54228,0,10427,61,0,0,0,1055,12915,9,1273
G12B20,82690,0,17306,0,0,0,0,1510,21276,24,1916
G12C22,86530,0,17373,0,0,0,0,887,21326,3,1496
G12C6,25651,0,4921,0,0,0,0,314,6129,0,392
G12C9,81210,0,17138,0,0,0,0,1438,21000,0,1929
G12H3,49827,0,24633,0,0,0,0,8425,18976,3,1869
G12H32,36791,0,6682,0,0,0,0,325,8736,4,538
G12P18,40333,0,8218,0,0,0,0,531,9657,0,680
G12P26,48197,0,16297,0,0,0,0,3693,14919,33,1317
G12P4,45075,0,12572,0,0,0,0,2472,12590,0,1128
G20A2,40643,0,7582,0,0,0,0,0,9469,8,856
G20A21,106986,0,19584,0,0,0,0,0,26267,16,2286
G20A36,78096,0,13267,0,0,0,0,0,16531,0,1527
G20B1,45781,0,7950,0,0,0,0,0,9682,5,989
G20B11,49982,0,8987,0,0,0,0,0,10994,0,1061
G20B20,62216,8,11037,0,0,0,0,0,13702,0,1289
G20C22,73262,0,13054,0,0,0,0,0,15853,7,1387
G20C6,46872,0,8196,0,0,0,0,0,10632,0,757
G20C9,165897,0,29271,0,0,0,0,0,39230,0,3603
G20H3,231347,0,40652,0,0,0,0,0,55240,0,4716
G20H32,38466,0,7073,0,0,0,0,0,7721,4,976
G20H5,420217,0,69044,0,0,0,0,0,93130,14,9275
G20P18,60237,0,11184,0,0,0,0,0,13039,0,1507
G20P26,72477,0,13316,0,3,0,0,0,16908,0,1758
G20P4,117670,0,21143,0,0,0,0,0,27881,0,2657
G27A2,0,12552,11900,0,0,0,0,13659,5775,71567,676
G27A36,584,1979,8726,0,0,0,0,10198,3841,10183,133
G27B20,0,1516,11681,0,0,0,0,13707,5034,7855,0
G27B25,0,1256,14320,0,0,0,0,16677,7031,6043,0
G27B34,0,8373,37086,0,0,0,3,44792,17863,45201,0
G27C35,0,3227,9285,0,0,0,0,9585,3978,18111,0
G27C6,1458,7805,22705,0,0,0,0,26018,11469,43988,285
G27C9,737,3545,4309,0,0,0,0,4861,1867,19491,90
G27H32,0,2900,11986,0,0,0,0,13762,5161,15308,0
G27P4,0,728,11557,0,0,0,0,13997,4710,3341,591
G2B20,74073,0,19453,0,0,0,0,0,21051,0,1854
G2B34,6963,0,1751,0,0,0,0,251,1493,15,608
G2C22,36895,0,9890,0,0,0,0,0,10602,0,1040
G2C35,136227,0,34361,0,0,0,0,0,37449,0,3769
G2C9,65721,0,17657,0,0,0,0,0,18495,0,1860
G2P26,100919,0,26280,0,0,0,0,0,29062,0,2670
G31A21,0,0,23486,0,0,0,0,25153,12217,11,0
G31A29,0,0,8218,0,0,0,0,9158,3800,0,398
G31B11,0,0,19875,0,0,0,0,23970,10398,0,683
G31B20,0,11,13223,0,0,0,0,16060,5806,0,694
G31C22,5277,121,32305,2,0,0,0,33577,21592,579,408
G31C6,1245,0,26574,0,0,0,0,29109,16315,50,403
G31C9,16803,0,19971,0,0,0,0,16423,13822,0,567
G31H3,0,0,15025,0,0,0,0,17628,8021,0,583
G31H5,1190,60,30537,0,36,0,0,32509,17913,381,443
G31P26,2638,0,46627,0,0,0,0,49594,27537,79,648
G31P37,0,0,12202,0,0,0,0,9697,6843,5,0
G31P4,1303,0,21955,0,0,0,0,23843,13662,60,285
G34A21,0,0,27662,0,0,0,0,22194,15283,12,0
G34A29,0,0,30756,0,0,0,0,24819,16806,9,0
G34B1,0,0,106624,0,0,0,0,103708,63063,8,2306
G34C22,0,0,34943,0,0,0,0,29864,20342,175,1188
G34C27,0,0,36175,0,0,0,0,33985,20067,0,885
G34C30,0,0,29243,0,0,9,0,34722,36165,0,1399
G34H3,0,0,32266,0,0,0,0,26889,17503,5,0
G34H32,0,0,17634,0,0,0,0,14529,9414,0,0
G34H5,0,0,21933,4,0,0,0,18671,12757,47,1253
G34P18,9766,0,145832,0,0,0,0,125116,90933,11,1758
G34P37,0,0,18508,0,0,0,0,17112,9896,12,0
G38A2,86335,0,14698,0,0,0,0,0,20532,21,1984
G38A21,262445,0,45137,0,0,0,0,0,64110,109,5913
G38A36,53403,0,9284,0,0,0,0,0,12058,0,1060
G38B11,72013,0,12583,0,0,0,0,0,16731,7,1590
G38B20,39944,0,7206,0,0,0,0,0,8768,3,742
G38C22,114263,0,20208,0,0,0,0,0,25636,95,2400
G38C6,37164,0,7194,0,0,0,0,0,8775,9,762
G38C9,74446,0,12845,0,0,0,0,0,19312,0,1344
G38H3,60578,0,10654,0,0,0,0,0,15434,7,1227
G38H32,80627,0,13664,0,0,0,0,0,19412,7,1926
G38P18,56381,0,9420,0,0,0,0,0,13143,3,743
G38P26,37923,0,7056,0,0,0,0,0,9118,0,562
G38P4,73874,0,13802,0,0,0,0,0,17981,5,1698
G4A2,85354,0,14722,0,0,0,0,0,17636,0,1662
G4A29,88376,0,13463,0,0,0,0,0,15988,0,2206
G4A36,138316,0,22471,0,0,0,0,0,28209,4,3139
G4B1,65458,0,10848,0,0,0,0,0,12668,0,1192
G4B11,80516,6,13084,0,0,0,0,0,15783,0,1314
G4B20,113681,0,19296,0,0,0,0,0,23002,5,2213
G4C22,95921,0,16006,0,0,0,0,0,21131,0,1770
G4C9,44267,0,7349,0,0,0,0,0,8249,0,868
G4H32,43072,0,7287,0,0,0,0,0,8249,0,752
G4H5,112349,0,17739,0,0,0,0,0,21788,0,2359
G4P18,186071,0,31217,4,0,0,0,0,37510,4,4118
G4P26,15654,0,2063,0,0,0,0,0,2137,0,431
G4P4,98597,0,16472,0,0,0,0,0,19025,0,2482